	RPA2	RAD54L	GEN1	FANCL	FANCD2	TREX1	TREX1	ATR	RAD1	RAD17	RAD50	MDC1	FANCE	RPA3	POLD2	HUS1	SHFM1	XRCC2	TEX15	NBN	RAD54B	FANCG	FANCC	PTEN	FANCF	MUS81	RAD9A	POLD4	POLD3	C11orf30	MRE11A	ATM	H2AFX	CHEK1	RAD52	MDM2	UBE2N	BRCA2	FANCM	XRCC3	RAD51	TP53BP1	FANCI	BLM	EME2	ERCC4	PALB2	FANCA	RPA1	BRCA1	EME1	RAD51C	RBBP8	PMAIP1	BCL2	C19orf40	BBC3	LIG1	POLD1	PCNA	BCL2L1	RTEL1	CHEK2	DMC1
TCGA-QQ-A5V9	2.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	6.0	2.0	1.0	3.0	3.0	7.0	8.0	8.0	1.0	1.0	1.0	2.0	2.0	3.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	7.0	4.0	3.0	3.0
TCGA-FX-A3TO	4.0	4.0	1.0	1.0	3.0	4.0	4.0	1.0	5.0	3.0	4.0	3.0	2.0	8.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	6.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	4.0	2.0	6.0	1.0	1.0	2.0	5.0	0.0	3.0	1.0	6.0	6.0	0.0	3.0	1.0	1.0	1.0	0.0	3.0	3.0	3.0	2.0	7.0	6.0	7.0	4.0	1.0	1.0	2.0	3.0	3.0	3.0	2.0	2.0
TCGA-VT-A80G	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	2.0
TCGA-QC-AA9N	2.0	2.0	1.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	9.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	6.0	0.0	0.0
TCGA-X9-A973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
TCGA-HB-A2OT	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
TCGA-MB-A5Y8	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
TCGA-X6-A8C2	0.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0
TCGA-WK-A8Y0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	2.0
TCGA-MB-A5Y9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
